run,base de treinamento,passos de treinamento,numero da iteracao,treinamento - condição de parada,quantidade de episódios terminais treino,recompensas treino,valor inicial treino,valor final treino,lucro/prejuízo treino,base de teste,quantidade de dias,numero da iteracao teste,quantidade de episódios teste,recompensas teste,valor inicial teste,valor final teste,lucro/prejuízo teste,quantidade de passos teste
11,"['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv']",0,11,0.8,0,0.7700000000000955,0.0,885.661400000074,885.661400000074,consolidado_teste (02.05 a 13.05).csv,7,11,0,1.1100000000001273,0.0,-109.3650000000057,-109.3650000000057,2836
12,"['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv']",0,12,0.8,0,7.81000000000131,0.0,1710.7973999999122,1710.7973999999122,consolidado_teste (02.05 a 13.05).csv,7,12,0,1.889999999999418,0.0,-140.85500000002685,-140.85500000002685,2836
13,"['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv']",0,13,0.8,0,0.0,0.0,1333.4556000001016,1333.4556000001016,consolidado_teste (02.05 a 13.05).csv,7,13,0,0.0,0.0,0.0,0.0,2836
14,"['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv']",0,14,0.8,0,0.9900000000004638,0.0,-1337.7835999999188,-1337.7835999999188,consolidado_teste (02.05 a 13.05).csv,7,14,0,0.0,0.0,0.17000000000004434,0.17000000000004434,2836
15,"['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv']",0,15,0.8,0,-9.094947017729282e-13,0.0,507.09409999996024,507.09409999996024,consolidado_teste (02.05 a 13.05).csv,7,15,0,1.7399999999997817,0.0,-116.21000000002641,-116.21000000002641,2836
16,"['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv']",0,16,0.8,0,0.0,0.0,-152.3471000000518,-152.3471000000518,consolidado_teste (02.05 a 13.05).csv,7,16,0,1.7099999999991269,0.0,-29.520000000002256,-29.520000000002256,2836
17,"['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv']",0,17,0.8,0,0.8800000000001091,0.0,-114.52660000006472,-114.52660000006472,consolidado_teste (02.05 a 13.05).csv,7,17,0,0.75,0.0,-50.085000000000946,-50.085000000000946,2836
18,"['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv']",0,18,0.8,0,0.0,0.0,0.5462000000970875,0.5462000000970875,consolidado_teste (02.05 a 13.05).csv,7,18,0,0.030000000000001137,0.0,-116.11500000001928,-116.11500000001928,2836
19,"['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv']",0,19,0.8,0,0.0,0.0,-2284.205600000075,-2284.205600000075,consolidado_teste (02.05 a 13.05).csv,7,19,0,0.330000000000382,0.0,12.70499999999356,12.70499999999356,2836
20,"['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv']",0,20,0.8,0,5.609999999999673,0.0,904.3765999999978,904.3765999999978,consolidado_teste (02.05 a 13.05).csv,7,20,0,0.0,0.0,0.0,0.0,2836
21,"['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv']",0,21,0.8,0,6.820000000001528,0.0,348.571900000039,348.571900000039,consolidado_teste (02.05 a 13.05).csv,7,21,0,1.889999999999418,0.0,-89.60499999999593,-89.60499999999593,2836
22,"['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv']",0,22,0.8,0,5.830000000001746,0.0,-1185.7843000000485,-1185.7843000000485,consolidado_teste (02.05 a 13.05).csv,7,22,0,0.18000000000006366,0.0,28.14999999999111,28.14999999999111,2836
23,"['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv']",0,23,0.8,0,6.820000000001528,0.0,2541.475900000105,2541.475900000105,consolidado_teste (02.05 a 13.05).csv,7,23,0,1.2900000000008731,0.0,-139.0300000000061,-139.0300000000061,2836
24,"['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv']",0,24,0.8,0,0.0,0.0,544.3181999999547,544.3181999999547,consolidado_teste (02.05 a 13.05).csv,7,24,0,0.0,0.0,-0.10999999999998522,-0.10999999999998522,2836
25,"['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv']",0,25,0.8,0,1.7600000000002183,0.0,520.3301999999549,520.3301999999549,consolidado_teste (02.05 a 13.05).csv,7,25,0,1.889999999999418,0.0,-184.02999999998792,-184.02999999998792,2836
26,"['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv']",0,26,0.8,0,6.710000000000946,0.0,122.60809999999765,122.60809999999765,consolidado_teste (02.05 a 13.05).csv,7,26,0,1.889999999999418,0.0,-152.40999999999985,-152.40999999999985,2836
27,"['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv']",0,27,0.8,0,2.2737367544323206e-13,0.0,491.86300000004667,491.86300000004667,consolidado_teste (02.05 a 13.05).csv,7,27,0,0.12000000000000455,0.0,-114.14499999998725,-114.14499999998725,2836
28,"['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv']",0,28,0.8,0,1.430000000000291,0.0,-956.8808000000727,-956.8808000000727,consolidado_teste (02.05 a 13.05).csv,7,28,0,0.0,0.0,-51.449999999989984,-51.449999999989984,2836
29,"['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv']",0,29,0.8,0,2.530000000000655,0.0,-46.09720000012567,-46.09720000012567,consolidado_teste (02.05 a 13.05).csv,7,29,0,0.0,0.0,-4.714999999999918,-4.714999999999918,2836
30,"['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv']",0,30,0.8,0,0.0,0.0,379.05699999991157,379.05699999991157,consolidado_teste (02.05 a 13.05).csv,7,30,0,1.889999999999418,0.0,-161.67499999999382,-161.67499999999382,2836
31,"['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv']",0,31,0.8,0,0.0,0.0,-856.7058999998444,-856.7058999998444,consolidado_teste (02.05 a 13.05).csv,7,31,0,1.8299999999999272,0.0,-63.76999999998043,-63.76999999998043,2836
32,"['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv']",0,32,0.8,0,5.719999999999345,0.0,2588.7180999998727,2588.7180999998727,consolidado_teste (02.05 a 13.05).csv,7,32,0,1.889999999999418,0.0,-146.78000000000065,-146.78000000000065,2836
33,"['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv']",0,33,0.8,0,0.8800000000001091,0.0,257.9896000001727,257.9896000001727,consolidado_teste (02.05 a 13.05).csv,7,33,0,0.0,0.0,-0.6349999999996783,-0.6349999999996783,2836
34,"['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv']",0,34,0.8,0,0.9900000000000091,0.0,-1182.3808999999037,-1182.3808999999037,consolidado_teste (02.05 a 13.05).csv,7,34,0,1.9200000000000728,0.0,-5.574999999989814,-5.574999999989814,2836
35,"['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv']",0,35,0.8,0,0.7699999999995271,0.0,537.7278000000897,537.7278000000897,consolidado_teste (02.05 a 13.05).csv,7,35,0,1.9200000000000728,0.0,-79.57999999999265,-79.57999999999265,2836
36,"['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv']",0,36,0.8,0,1.099999999999909,0.0,2395.2568000000583,2395.2568000000583,consolidado_teste (02.05 a 13.05).csv,7,36,0,1.9200000000000728,0.0,-45.734999999993306,-45.734999999993306,2836
37,"['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv']",0,37,0.8,0,0.5499999999999545,0.0,-1112.621399999935,-1112.621399999935,consolidado_teste (02.05 a 13.05).csv,7,37,0,0.0,0.0,0.5749999999999602,0.5749999999999602,2836
38,"['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv']",0,38,0.8,0,7.150000000001455,0.0,852.6219000000438,852.6219000000438,consolidado_teste (02.05 a 13.05).csv,7,38,0,1.889999999999418,0.0,-152.5900000000147,-152.5900000000147,2836
39,"['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv']",0,39,0.8,0,0.0,0.0,-1259.8176000000112,-1259.8176000000112,consolidado_teste (02.05 a 13.05).csv,7,39,0,0.2099999999999227,0.0,15.300000000000523,15.300000000000523,2836
40,"['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv']",0,40,0.8,0,5.830000000001746,0.0,1025.1354999997911,1025.1354999997911,consolidado_teste (02.05 a 13.05).csv,7,40,0,0.0,0.0,-1.6099999999999852,-1.6099999999999852,2836
41,"['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv']",0,41,0.8,0,0.0,0.0,902.161799999999,902.161799999999,consolidado_teste (02.05 a 13.05).csv,7,41,0,0.0,0.0,0.0,0.0,2836
42,"['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv']",0,42,0.8,0,-4.547473508864641e-13,0.0,202.2736000001296,202.2736000001296,consolidado_teste (02.05 a 13.05).csv,7,42,0,0.8999999999996362,0.0,-117.34000000000833,-117.34000000000833,2836
43,"['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv']",0,43,0.8,0,7.479999999999563,0.0,1319.9387999999635,1319.9387999999635,consolidado_teste (02.05 a 13.05).csv,7,43,0,1.889999999999418,0.0,-156.61500000000706,-156.61500000000706,2836
44,"['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv']",0,44,0.8,0,0.0,0.0,865.3361999999806,865.3361999999806,consolidado_teste (02.05 a 13.05).csv,7,44,0,0.0,0.0,0.0,0.0,2836
45,"['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv']",0,45,0.8,0,4.950000000000728,0.0,272.34929999987344,272.34929999987344,consolidado_teste (02.05 a 13.05).csv,7,45,0,1.889999999999418,0.0,-154.79000000000815,-154.79000000000815,2836
46,"['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv']",0,46,0.8,0,4.290000000000532,0.0,-578.4664999999098,-578.4664999999098,consolidado_teste (02.05 a 13.05).csv,7,46,0,1.800000000000182,0.0,-17.640000000025793,-17.640000000025793,2836
47,"['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv']",0,47,0.8,0,0.7699999999999818,0.0,-209.75900000001502,-209.75900000001502,consolidado_teste (02.05 a 13.05).csv,7,47,0,0.4500000000000455,0.0,-59.37000000000012,-59.37000000000012,2836
48,"['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv']",0,48,0.8,0,7.920000000000073,0.0,1875.21720000009,1875.21720000009,consolidado_teste (02.05 a 13.05).csv,7,48,0,1.889999999999418,0.0,-159.775000000016,-159.775000000016,2836
49,"['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv']",0,49,0.8,0,6.820000000001528,0.0,308.48800000004303,308.48800000004303,consolidado_teste (02.05 a 13.05).csv,7,49,0,1.859999999998763,0.0,-97.27499999999964,-97.27499999999964,2836
